id,age,name,club,nationality,position,preferred_foot,release_clause,value,wage
158023,31,L. Messi,FC Barcelona,Argentina,RF,Left,226500000.0,110500000.0,565000.0
20801,33,Cristiano Ronaldo,Juventus,Portugal,ST,Right,127100000.0,77000000.0,405000.0
190871,26,Neymar Jr,Paris Saint-Germain,Brazil,LW,Right,228100000.0,118500000.0,290000.0
193080,27,De Gea,Manchester United,Spain,GK,Right,138600000.0,72000000.0,260000.0
192985,27,K. De Bruyne,Manchester City,Belgium,RCM,Right,196400000.0,102000000.0,355000.0
183277,27,E. Hazard,Chelsea,Belgium,LF,Right,172100000.0,93000000.0,340000.0
177003,32,L. Modrić,Real Madrid,Croatia,RCM,Right,137400000.0,67000000.0,420000.0
176580,31,L. Suárez,FC Barcelona,Uruguay,RS,Right,164000000.0,80000000.0,455000.0
155862,32,Sergio Ramos,Real Madrid,Spain,RCB,Right,104600000.0,51000000.0,380000.0
200389,25,J. Oblak,Atlético Madrid,Slovenia,GK,Right,144500000.0,68000000.0,94000.0
188545,29,R. Lewandowski,FC Bayern München,Poland,ST,Right,127100000.0,77000000.0,205000.0
182521,28,T. Kroos,Real Madrid,Germany,LCM,Right,156800000.0,76500000.0,355000.0
182493,32,D. Godín,Atlético Madrid,Uruguay,CB,Right,90200000.0,44000000.0,125000.0
168542,32,David Silva,Manchester City,Spain,LCM,Left,111000000.0,60000000.0,285000.0
215914,27,N. Kanté,Chelsea,France,LDM,Right,121300000.0,63000000.0,225000.0
211110,24,P. Dybala,Juventus,Argentina,LF,Left,153500000.0,89000000.0,205000.0
202126,24,H. Kane,Tottenham Hotspur,England,ST,Right,160700000.0,83500000.0,205000.0
194765,27,A. Griezmann,Atlético Madrid,France,CAM,Left,165800000.0,78000000.0,145000.0
192448,26,M. ter Stegen,FC Barcelona,Germany,GK,Right,123300000.0,58000000.0,240000.0
192119,26,T. Courtois,Real Madrid,Belgium,GK,Left,113700000.0,53500000.0,240000.0
189511,29,Sergio Busquets,FC Barcelona,Spain,CDM,Right,105600000.0,51500000.0,315000.0
179813,31,E. Cavani,Paris Saint-Germain,Uruguay,LS,Right,111000000.0,60000000.0,200000.0
167495,32,M. Neuer,FC Bayern München,Germany,GK,Right,62700000.0,38000000.0,130000.0
153079,30,S. Agüero,Manchester City,Argentina,ST,Right,119300000.0,64500000.0,300000.0
138956,33,G. Chiellini,Juventus,Italy,LCB,Left,44600000.0,27000000.0,215000.0
231747,19,K. Mbappé,Paris Saint-Germain,France,RM,Right,166100000.0,81000000.0,100000.0
209331,26,M. Salah,Liverpool,Egypt,RM,Left,137300000.0,69500000.0,255000.0
200145,26,Casemiro,Real Madrid,Brazil,CDM,Right,126400000.0,59500000.0,285000.0
198710,26,J. Rodríguez,FC Bayern München,Colombia,LAM,Left,,69500000.0,315000.0
198219,27,L. Insigne,Napoli,Italy,LW,Right,105400000.0,62000000.0,165000.0
197781,26,Isco,Real Madrid,Spain,LW,Right,156200000.0,73500000.0,315000.0
190460,26,C. Eriksen,Tottenham Hotspur,Denmark,CAM,Right,141500000.0,73500000.0,205000.0
189242,26,Coutinho,FC Barcelona,Brazil,LW,Right,147700000.0,69500000.0,340000.0
188567,29,P. Aubameyang,Arsenal,Gabon,LM,Right,112100000.0,59000000.0,265000.0
178603,29,M. Hummels,FC Bayern München,Germany,LCB,Right,75900000.0,46000000.0,160000.0
176676,30,Marcelo,Real Madrid,Brazil,LB,Left,88200000.0,43000000.0,285000.0
173731,28,G. Bale,Real Madrid,Wales,ST,Left,123000000.0,60000000.0,355000.0
167948,31,H. Lloris,Tottenham Hotspur,France,GK,Left,66599999.99999999,36000000.0,150000.0
167664,30,G. Higuaín,Milan,Argentina,LS,Right,,57000000.0,245000.0
164240,33,Thiago Silva,Paris Saint-Germain,Brazil,RCB,Right,44400000.0,24000000.0,165000.0
162835,33,S. Handanovič,Inter,Slovenia,GK,Right,51000000.0,30000000.0,110000.0
1179,40,G. Buffon,Paris Saint-Germain,Italy,GK,Right,7400000.0,4000000.0,77000.0
205600,24,S. Umtiti,FC Barcelona,France,CB,Left,121100000.0,57000000.0,205000.0
201399,25,M. Icardi,Inter,Argentina,ST,Right,114500000.0,64500000.0,130000.0
201024,27,K. Koulibaly,Napoli,Senegal,LCB,Right,90500000.0,51000000.0,115000.0
195864,25,P. Pogba,Manchester United,France,RDM,Right,123200000.0,64000000.0,210000.0
193041,31,K. Navas,Real Madrid,Costa Rica,GK,Right,62500000.0,30500000.0,195000.0
192505,25,R. Lukaku,Manchester United,Belgium,ST,Left,120300000.0,62500000.0,230000.0
192387,28,C. Immobile,Lazio,Italy,ST,Right,88400000.0,52000000.0,115000.0
189332,29,Jordi Alba,FC Barcelona,Spain,LB,Left,77900000.0,38000000.0,250000.0
175943,31,D. Mertens,Napoli,Belgium,RF,Right,76500000.0,45000000.0,135000.0
172871,31,J. Vertonghen,Tottenham Hotspur,Belgium,LCB,Left,62900000.0,34000000.0,155000.0
171877,30,M. Hamšík,Napoli,Slovakia,LCM,Right,79100000.0,46500000.0,125000.0
168651,30,I. Rakitić,FC Barcelona,Croatia,RCM,Right,95300000.0,46500000.0,260000.0
152729,31,Piqué,FC Barcelona,Spain,RCB,Right,69700000.0,34000000.0,240000.0
222492,22,L. Sané,Manchester City,Germany,LW,Left,125100000.0,61000000.0,195000.0
218667,23,Bernardo Silva,Manchester City,Portugal,RW,Left,114500000.0,59500000.0,180000.0
210257,24,Ederson,Manchester City,Brazil,GK,Left,79900000.0,41500000.0,125000.0
208722,26,S. Mané,Liverpool,Senegal,LM,Right,102700000.0,52000000.0,195000.0
203376,26,V. van Dijk,Liverpool,Netherlands,LCB,Right,87900000.0,44500000.0,165000.0
202652,23,R. Sterling,Manchester City,England,RW,Right,108800000.0,56500000.0,195000.0
201942,26,Roberto Firmino,Liverpool,Brazil,CAM,Right,104700000.0,53000000.0,195000.0
201535,25,R. Varane,Real Madrid,France,RCB,Right,106300000.0,50000000.0,210000.0
199556,25,M. Verratti,Paris Saint-Germain,Italy,LCM,Right,105900000.0,55000000.0,135000.0
191043,27,Alex Sandro,Juventus,Brazil,LB,Left,60200000.0,36500000.0,160000.0
