id,acceleration,balance,ballcontrol,crossing,dribbling,finishing,jumping,overall,positioning,stamina
158023,91.0,95.0,96.0,84.0,97.0,95.0,68.0,94,94.0,72.0
20801,89.0,70.0,94.0,84.0,88.0,94.0,95.0,94,95.0,88.0
190871,94.0,84.0,95.0,79.0,96.0,87.0,61.0,92,89.0,81.0
193080,57.0,43.0,42.0,17.0,18.0,13.0,67.0,91,12.0,43.0
192985,78.0,77.0,91.0,93.0,86.0,82.0,63.0,91,87.0,90.0
183277,94.0,94.0,94.0,81.0,95.0,84.0,56.0,91,87.0,83.0
177003,80.0,94.0,93.0,86.0,90.0,72.0,68.0,91,79.0,89.0
176580,86.0,83.0,90.0,77.0,87.0,93.0,69.0,91,92.0,90.0
155862,76.0,66.0,84.0,66.0,63.0,60.0,93.0,91,60.0,84.0
200389,43.0,49.0,16.0,13.0,12.0,11.0,76.0,90,11.0,41.0
188545,77.0,78.0,89.0,62.0,85.0,91.0,84.0,90,91.0,78.0
182521,64.0,71.0,90.0,88.0,81.0,76.0,30.0,90,79.0,75.0
182493,68.0,54.0,76.0,55.0,53.0,42.0,91.0,90,48.0,66.0
168542,70.0,90.0,94.0,84.0,89.0,76.0,64.0,90,89.0,78.0
215914,82.0,92.0,80.0,68.0,79.0,65.0,77.0,89,71.0,96.0
211110,87.0,85.0,92.0,82.0,92.0,84.0,75.0,89,84.0,80.0
202126,68.0,71.0,84.0,75.0,80.0,94.0,78.0,89,93.0,89.0
194765,88.0,80.0,90.0,82.0,88.0,90.0,90.0,89,91.0,83.0
192448,38.0,43.0,18.0,15.0,17.0,14.0,79.0,89,11.0,35.0
192119,46.0,45.0,23.0,14.0,13.0,14.0,68.0,89,13.0,38.0
189511,50.0,52.0,88.0,62.0,80.0,67.0,66.0,89,77.0,86.0
179813,75.0,59.0,82.0,70.0,80.0,89.0,88.0,89,93.0,92.0
167495,54.0,35.0,48.0,15.0,30.0,13.0,77.0,89,12.0,43.0
153079,88.0,91.0,89.0,70.0,89.0,93.0,81.0,89,92.0,76.0
138956,63.0,55.0,57.0,58.0,58.0,33.0,89.0,89,28.0,65.0
231747,96.0,83.0,91.0,77.0,90.0,88.0,75.0,88,88.0,83.0
209331,94.0,88.0,88.0,78.0,89.0,90.0,68.0,88,90.0,84.0
200145,59.0,66.0,78.0,52.0,69.0,59.0,88.0,88,69.0,87.0
198710,73.0,76.0,90.0,90.0,85.0,83.0,54.0,88,80.0,70.0
